StyleId,StyleImages
29066024,"{""back"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/29066024/2024/4/19/c63ac34e-63d7-43c3-90e9-a6e615e3b40a1713527861775ADByArvindMenSlimFitOpaqueCasualShirt3.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 3}, ""bottom"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/29066024/2024/4/19/9a6651cb-5f13-4f3a-9a5d-eca0847c85401713527861805ADByArvindMenSlimFitOpaqueCasualShirt7.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 7}, ""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/29066024/2024/4/19/881ee050-cd57-4f0e-91e2-b1a1d8a36b021713527861998ADByArvindMenSlimFitOpaqueCasualShirt1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/29066024/2024/4/19/881ee050-cd57-4f0e-91e2-b1a1d8a36b021713527861998ADByArvindMenSlimFitOpaqueCasualShirt1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/29066024/2024/4/19/ebdb5a1a-6c4e-48f9-a2b6-8af45452d6001713527861921ADByArvindMenSlimFitOpaqueCasualShirt2.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""left"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/29066024/2024/4/19/3a6affb3-93ad-4874-bf71-a794004814101713527861959ADByArvindMenSlimFitOpaqueCasualShirt5.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 5}, ""right"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/29066024/2024/4/19/f444d896-7e34-4b52-a87d-7e93a0ed7cf01713527861844ADByArvindMenSlimFitOpaqueCasualShirt4.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 4}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/29066024/2024/4/19/881ee050-cd57-4f0e-91e2-b1a1d8a36b021713527861998ADByArvindMenSlimFitOpaqueCasualShirt1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690794680-shirt_men.png""}, ""top"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/29066024/2024/4/19/cec2b45d-b296-4b57-a86e-99ce32c6b2c71713527861883ADByArvindMenSlimFitOpaqueCasualShirt6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 6}}"
35888507,"{""back"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JULY/22/xJgZ5hv0_3010686f193047a0b071d1c5f02cc696.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 3}, ""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JULY/22/DQDPYgpJ_aacc6aef5dd34bcf94fa6a6bb173708d.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/2025/JULY/22/DQDPYgpJ_aacc6aef5dd34bcf94fa6a6bb173708d.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JULY/22/UViY5B96_51026c03a7d143f298bab41b3658c1aa.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""left"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JULY/22/KcdcuhbW_e84c2f87d01d45948a2b2d154e3c75b1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 5}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JULY/22/DQDPYgpJ_aacc6aef5dd34bcf94fa6a6bb173708d.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690794680-shirt_men.png""}}"
17357388,"{""back"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/17357388/2023/1/13/04ef5cd0-2349-4f0a-b1a4-52feb55868871673583655999-The-Indian-Garage-Co-Men-Shirts-6141673583655491-3.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 3}, ""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/17357388/2023/1/13/bc163292-c398-4477-b731-7794d1a58abb1673583656025-The-Indian-Garage-Co-Men-Shirts-6141673583655491-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/17357388/2023/1/13/bc163292-c398-4477-b731-7794d1a58abb1673583656025-The-Indian-Garage-Co-Men-Shirts-6141673583655491-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/17357388/2023/1/13/462ff7d8-1b1c-4d68-935d-ef0a1b080b9c1673583656013-The-Indian-Garage-Co-Men-Shirts-6141673583655491-2.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""left"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/17357388/2023/1/13/126205fe-af3e-46d8-bc7a-ab2871762b991673583655972-The-Indian-Garage-Co-Men-Shirts-6141673583655491-5.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 5}, ""right"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/17357388/2023/1/13/e5de28e5-b415-4479-82e4-40538e1dce7d1673583655985-The-Indian-Garage-Co-Men-Shirts-6141673583655491-4.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 4}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/17357388/2023/1/13/bc163292-c398-4477-b731-7794d1a58abb1673583656025-The-Indian-Garage-Co-Men-Shirts-6141673583655491-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690794680-shirt_men.png""}, ""top"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/17357388/2023/1/13/5041ab8c-aa58-4bff-a285-2066c5b85d4b1673583655956-The-Indian-Garage-Co-Men-Shirts-6141673583655491-6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 6}}"
22010638,"{""back"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/22010638/2023/2/24/737a6c9f-0454-4d12-9678-3270450825911677224073460-Moda-Rapido-Men-Shirts-2811677224072908-3.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 3}, ""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/22010638/2023/2/24/2bc1ff50-78b6-43d2-91ce-fe11f978afe31677224073485-Moda-Rapido-Men-Shirts-2811677224072908-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/22010638/2023/2/24/2bc1ff50-78b6-43d2-91ce-fe11f978afe31677224073485-Moda-Rapido-Men-Shirts-2811677224072908-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/22010638/2023/2/24/98c2d026-8442-4e34-9553-870cd0df75ac1677224073475-Moda-Rapido-Men-Shirts-2811677224072908-2.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""left"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/22010638/2023/2/24/45ad17f9-e0da-415a-9f6a-177b08f7ce5f1677224073431-Moda-Rapido-Men-Shirts-2811677224072908-5.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 5}, ""right"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/22010638/2023/2/24/52a611a1-c34b-43e0-9aed-b8ec285cfd5c1677224073448-Moda-Rapido-Men-Shirts-2811677224072908-4.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 4}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/22010638/2023/2/24/2bc1ff50-78b6-43d2-91ce-fe11f978afe31677224073485-Moda-Rapido-Men-Shirts-2811677224072908-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690794680-shirt_men.png""}, ""top"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/22010638/2023/2/24/aa7a4a15-f85f-47c5-a023-3c81debe84be1677224073414-Moda-Rapido-Men-Shirts-2811677224072908-6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 6}}"
24681706,"{""back"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24681706/2023/8/27/59b45cd2-69ba-4293-a886-a640f195ed6c1693134858008PowerlookMenMulticolouredTartanChecksOpaqueCheckedCasualShir3.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 3}, ""bottom"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24681706/2023/8/27/4c936985-ef51-4791-a5d5-2879d1044fde1693134857961PowerlookMenMulticolouredTartanChecksOpaqueCheckedCasualShir7.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 7}, ""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24681706/2023/8/27/5e9ad3d5-951b-4b00-8a13-e1dcea0878cd1693134857976PowerlookMenMulticolouredTartanChecksOpaqueCheckedCasualShir1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/24681706/2023/8/27/5e9ad3d5-951b-4b00-8a13-e1dcea0878cd1693134857976PowerlookMenMulticolouredTartanChecksOpaqueCheckedCasualShir1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24681706/2023/8/27/0c909606-ddac-4a26-a535-1511f9b929d61693134857992PowerlookMenMulticolouredTartanChecksOpaqueCheckedCasualShir2.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""left"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24681706/2023/8/27/89670672-e80e-4f82-8869-7c5f73e6f3261693134857946PowerlookMenMulticolouredTartanChecksOpaqueCheckedCasualShir5.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 5}, ""right"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24681706/2023/8/27/87727708-0460-4249-8834-6e0277dfa9571693134858025PowerlookMenMulticolouredTartanChecksOpaqueCheckedCasualShir4.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 4}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24681706/2023/8/27/5e9ad3d5-951b-4b00-8a13-e1dcea0878cd1693134857976PowerlookMenMulticolouredTartanChecksOpaqueCheckedCasualShir1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690794680-shirt_men.png""}, ""top"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24681706/2023/8/27/95e26094-9933-4a71-9d1a-b4ba2d50d6b01693134858041PowerlookMenMulticolouredTartanChecksOpaqueCheckedCasualShir6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 6}}"
34885700,"{""back"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JUNE/12/V8v6RAQ1_6d09ce2bab324c6380f6a271ce622ffb.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 3}, ""bottom"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JUNE/12/vGLxmaEx_954863b860c2490c85b89ad59c380710.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 7}, ""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JUNE/12/MQehGVKH_c6fa9321124c4ee2b94bba341cd963d6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/2025/JUNE/12/MQehGVKH_c6fa9321124c4ee2b94bba341cd963d6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JUNE/12/IfDSpqzY_41ca40dd9fe444e4acc4c9f2a6456819.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""left"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JUNE/12/1NEAzja3_500309b3cc744708b4200f400107ad32.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 5}, ""right"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JUNE/12/FTggTjYZ_9a19e3e2406a45fe82a0779ad632cf82.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 4}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JUNE/12/MQehGVKH_c6fa9321124c4ee2b94bba341cd963d6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690794680-shirt_men.png""}, ""top"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/JUNE/12/Pt131l9k_a50a7ace607c4b0db21e588de4224ac6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 6}}"
24842568,"{""back"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842568/2024/3/20/6bd189fd-1b07-49e0-b2e6-4ebf4a347e8c1710939429061ParkAvenuePureCottonSlimFitOpaqueFormalShirt3.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 3}, ""bottom"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842568/2024/3/20/1176f73e-d22e-4c15-95a1-a7cc8ef1151e1710939429183ParkAvenuePureCottonSlimFitOpaqueFormalShirt7.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 7}, ""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842568/2024/3/20/695fa707-e19f-401e-a1fc-7845a8dfd98c1710939429006ParkAvenuePureCottonSlimFitOpaqueFormalShirt1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/24842568/2024/3/20/695fa707-e19f-401e-a1fc-7845a8dfd98c1710939429006ParkAvenuePureCottonSlimFitOpaqueFormalShirt1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842568/2024/3/20/7c82ea26-9779-4e97-b395-23b344e75c8e1710939429031ParkAvenuePureCottonSlimFitOpaqueFormalShirt2.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""left"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842568/2024/3/20/b0b79ee7-391e-4935-a6fa-99f5dd344ba41710939429121ParkAvenuePureCottonSlimFitOpaqueFormalShirt5.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 5}, ""right"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842568/2024/3/20/2de6ec38-5b04-4f51-a84c-2082b42369fc1710939429091ParkAvenuePureCottonSlimFitOpaqueFormalShirt4.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 4}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842568/2024/3/20/695fa707-e19f-401e-a1fc-7845a8dfd98c1710939429006ParkAvenuePureCottonSlimFitOpaqueFormalShirt1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690794680-shirt_men.png""}, ""top"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842568/2024/3/20/a0f0716a-cbb1-4bf0-85a3-d7ceba9f53b01710939429152ParkAvenuePureCottonSlimFitOpaqueFormalShirt6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 6}}"
24842554,"{""back"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842554/2023/11/16/cfe063db-6bbe-41db-8e40-c7c213044e2b1700123438573-Park-Avenue-Men-Pure-Cotton-Slim-Fit-Striped-Formal-Shirt-57-3.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 3}, ""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842554/2023/11/16/c19efe0a-3ef4-42ca-8d01-7f873fe20b681700123438586-Park-Avenue-Men-Pure-Cotton-Slim-Fit-Striped-Formal-Shirt-57-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/24842554/2023/11/16/c19efe0a-3ef4-42ca-8d01-7f873fe20b681700123438586-Park-Avenue-Men-Pure-Cotton-Slim-Fit-Striped-Formal-Shirt-57-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842554/2023/11/16/18547cfe-589b-4507-8e73-328982caa31a1700123438579-Park-Avenue-Men-Pure-Cotton-Slim-Fit-Striped-Formal-Shirt-57-2.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""left"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842554/2023/11/16/bc57d889-8db4-44ec-81cc-b6cc2750d0531700123438560-Park-Avenue-Men-Pure-Cotton-Slim-Fit-Striped-Formal-Shirt-57-5.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 5}, ""right"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842554/2023/11/16/e9c9d15f-7d6e-4ff1-93a2-0b99ea9f21f71700123438566-Park-Avenue-Men-Pure-Cotton-Slim-Fit-Striped-Formal-Shirt-57-4.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 4}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842554/2023/11/16/c19efe0a-3ef4-42ca-8d01-7f873fe20b681700123438586-Park-Avenue-Men-Pure-Cotton-Slim-Fit-Striped-Formal-Shirt-57-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690794680-shirt_men.png""}, ""top"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/24842554/2023/11/16/9005aebb-eb03-43fa-8e24-d97d6e65772f1700123438553-Park-Avenue-Men-Pure-Cotton-Slim-Fit-Striped-Formal-Shirt-57-6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 6}}"
25942874,"{""back"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/25942874/2023/12/5/0c85372b-208f-4bd4-afeb-5d0ad2c96eda1701754825127-Raymond-Men-Shirts-1061701754824728-3.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 3}, ""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/25942874/2023/12/5/b3e1d1f7-dc42-4264-9744-ca8793d169cd1701754825141-Raymond-Men-Shirts-1061701754824728-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/25942874/2023/12/5/b3e1d1f7-dc42-4264-9744-ca8793d169cd1701754825141-Raymond-Men-Shirts-1061701754824728-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/25942874/2023/12/5/51135722-da5c-4ce0-bb63-b289af96ba1a1701754825134-Raymond-Men-Shirts-1061701754824728-2.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""left"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/25942874/2023/12/5/cd6898ce-f4c1-4338-91b0-5a58418466a31701754825113-Raymond-Men-Shirts-1061701754824728-5.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 5}, ""right"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/25942874/2023/12/5/3b2615c2-033e-4809-8482-d81d999bdc521701754825120-Raymond-Men-Shirts-1061701754824728-4.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 4}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/25942874/2023/12/5/b3e1d1f7-dc42-4264-9744-ca8793d169cd1701754825141-Raymond-Men-Shirts-1061701754824728-1.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690794680-shirt_men.png""}, ""top"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/25942874/2023/12/5/d2a55af1-d5b3-401d-b135-7a4d730f820f1701754825106-Raymond-Men-Shirts-1061701754824728-6.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 6}}"
31014875,"{""default"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/APRIL/24/tjlztGaF_822d160dea33450c94a27cc17dfdaf4c.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 1}, ""default_deprecated"": {""imageUrl"": ""https://azmyntra.myntassets.com/dam-assets/assets/images/2025/APRIL/24/tjlztGaF_822d160dea33450c94a27cc17dfdaf4c.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""front"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/APRIL/24/0lesWaEM_80bcfc97cdfc41a59f0da3612fdcf5fb.jpg"", ""supportedResolutions"": ""1080X1440,540X720,360X480,48X64,81X108"", ""order"": 2}, ""search"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/2025/APRIL/24/tjlztGaF_822d160dea33450c94a27cc17dfdaf4c.jpg"", ""supportedResolutions"": ""1080X1440,540X720,180X240,360X480,150X200,96X128,81X108,48X64"", ""order"": 9999}, ""size_representation"": {""imageUrl"": ""http://assets.myntassets.com/assets/images/sizechart/2016/12/14/11481690710087-jacket_men.png""}}"
