category,image_url,Color
blazers,https://imagescdn.peterengland.com/img/app/product/4/40246575-25350474.jpg?auto=format&w=390,Black
blazers,https://imagescdn.peterengland.com/img/app/product/4/40246475-25349536.jpg?auto=format&w=390,Brown
blazers,https://imagescdn.peterengland.com/img/app/product/4/40236429-25265901.jpg?auto=format&w=390,Beige
blazers,https://imagescdn.peterengland.com/img/app/product/4/40092056-22359048.jpg?auto=format&w=390,grey check
blazers,https://imagescdn.peterengland.com/img/app/product/4/40093179-22391133.jpg?auto=format&w=390,olive green
blazers,https://imagescdn.peterengland.com/img/app/product/3/39838212-18971526.jpg?auto=format&w=390,navy blue
shirts,https://imagescdn.peterengland.com/img/app/product/3/39726972-15105641.jpg?auto=format&w=390,beige
shirts,https://imagescdn.peterengland.com/img/app/product/3/39743235-22077965.jpg?auto=format&w=390,black
shirts,https://imagescdn.peterengland.com/img/app/product/9/954194-12336067.jpg?auto=format&w=390,white
shirts,https://imagescdn.peterengland.com/img/app/product/3/39974484-22078561.jpg?auto=format&w=390,brown
shirts,https://imagescdn.peterengland.com/img/app/product/9/949608-12229066.jpg?auto=format&w=390,light pink
shirts,https://imagescdn.peterengland.com/img/app/product/3/39965026-22078426.jpg?auto=format&w=390,green
pants,https://imagescdn.peterengland.com/img/app/product/3/39730241-15201902.jpg?auto=format&w=390,beige
pants,https://imagescdn.peterengland.com/img/app/product/3/39828847-16497249.jpg?auto=format&w=390,grey
pants,https://imagescdn.peterengland.com/img/app/product/3/39824721-16405128.jpg?auto=format&w=390,Black
pants,https://imagescdn.peterengland.com/img/app/product/3/39669080-13564086.jpg?auto=format&w=390,brown
pants,http://imagescdn.peterengland.com/img/app/product/4/40230527-25219861.jpg?auto=format&w=390,navy blue
shoes,https://imagescdn.vanheusenindia.com/img/app/product/7/761236-14585921.jpg?auto=format&w=390,Brown
shoes,https://imagescdn.peterengland.com/img/app/product/8/806215-9565820.jpg?auto=format&w=390,Black
shoes,https://pplx-res.cloudinary.com/image/upload/pplx_search_images/026af6a3f6469065bf6dcc8a1a6e56a27d2b0623.jpg,Black
shoes,https://imagescdn.vanheusenindia.com/img/app/product/8/860566-16617643.jpg?auto=format&w=390,Brown
