style_id,category,image_url
neckline_1,neckline,https://zhome.in/cdn/shop/files/WhatsApp_Image_2025-09-01_at_23.35.47.jpg?v=1756799338&width=1100
neckline_2,neckline,https://zhome.in/cdn/shop/files/WhatsAppImage2025-10-08at22.36.07_1.webp?v=1759991713&width=1100
neckline_3,neckline,https://zhome.in/cdn/shop/files/WhatsApp_Image_2025-10-06_at_19.06.46.webp?v=1759764568&width=1100
neckline_4,neckline,https://zhome.in/cdn/shop/files/WhatsAppImage2025-12-07at19.59.33_3.webp?v=1766224496&width=1100
saree_1,saree,https://silkfolks.com/cdn/shop/files/KP-6023-Maroon-New_3_1728x.jpg?v=1755240283
saree_2,saree,https://d1311wbk6unapo.cloudfront.net/NushopCatalogue/64f99a0ad51f9400133b0914/cat_img/Black_Gouthami_Narayanapet_Pure_Cotton_saree__85GFHAGVGL_2025-08-19_1.jpg
saree_3,saree,https://panachehautecouture.com/cdn/shop/products/d1747984115ddb883cc40f281a6bd8eb.jpeg?v=1571438576
saree_4,saree,https://d1311wbk6unapo.cloudfront.net/NushopCatalogue/64f99a0ad51f9400133b0914/cat_img/yHdLW_c8_JUFGTP8B5U_2024-12-06_2.jpg
neckline_5,neckline,https://zhome.in/cdn/shop/files/WhatsAppImage2025-11-01at19.37.27_1000.webp?v=1762010862&width=1100
neckline_6,neckline,https://zhome.in/cdn/shop/files/WhatsAppImage2025-09-25at19.21.06.webp?v=1758904490&width=1100
